NO. PROVINSI,KETERSEDIAAN 2022,KETERJANGKAUAN 2022,PEMANFAATAN 2022,KOMPOSIT 2022,KETERSEDIAAN 2023,KETERJANGKAUAN 2023,PEMANFAATAN 2023,KOMPOSIT 2023
Aceh,80.17,69.34,66.25,70.16,77.07,74.49,69.62,72.96
Sumatera Utara,80.19,75.02,64.44,71.22,80.27,80.17,69.91,75.97
Sumatera Barat,87.53,84.23,71.84,79.45,87.51,88.21,75.92,83.22
Riau,38.78,86.5,69.81,67.59,34.76,87.28,73.86,68.68
Jambi,58.48,82,67.04,69.5,50.96,86.35,72.84,72.17
Sumatera Selatan,81.57,74.11,61.29,69.64,81.69,79.01,65.99,73.82
Bengkulu,69.92,75.18,61.53,67.99,76.93,76.43,65.77,72.27
Lampung,94.94,79.62,67.72,78.61,95.04,82.32,71.99,81.56
Kep. Bangka Belitung,36.38,92.47,77.54,71.71,28.48,91.77,81.28,71.14
Kepulauan Riau,5.83,88.9,72.53,63.83,0,88.85,78.24,65.1
DKI Jakarta,0,83.22,81.12,78.25,0,89.97,86.01,83.8
Jawa Barat,84.59,79.11,73.71,77.55,85.07,84.16,78.59,82.19
Jawa Tengah,88.88,81.47,80.69,82.95,87.69,83.44,83.61,84.8
DI Yogyakarta,84.2,79.66,79.97,80.88,81.84,83.55,83.6,83.17
Jawa Timur,90.64,79.42,74.27,79.85,89.72,81.99,78.24,82.46
Banten,82.81,83.99,62.79,73.78,82.1,88.65,68.44,78.71
Bali,79.08,94,82.08,85.19,80.5,94.1,86.89,87.65
Nusa Tenggara Barat,92.85,76.24,67.81,76.58,91.63,73.67,69.5,76.51
Nusa Tenggara Timur,86.25,61.62,60.55,68.42,86.75,66.84,63.26,71.25
Kalimantan Barat,76.21,86.33,56.29,70.81,76.18,86.31,59.08,72.2
Kalimantan Tengah,49.87,91.07,67.55,69.96,43.6,89.76,70.22,68.9
Kalimantan Selatan,88.69,90.68,69.01,81.05,82,91.17,72.94,81.26
Kalimantan Timur,52.33,90.27,79.43,77.65,48.91,90.79,84.18,79.29
Kalimantan Utara,43.5,89.99,72.21,71.04,46.05,91.18,77.49,74.59
Sulawesi Utara,70.37,81.42,71.42,74.3,70.04,82.93,76.05,77.32
Sulawesi Tengah,77.98,80.39,70.88,75.92,75.19,80.89,72.19,75.83
Sulawesi Selatan,94.71,83.52,71.22,81.38,93.76,85.31,74.85,83.36
Sulawesi Tenggara,71.8,78.24,74.38,75.04,64.05,81.48,76.41,74.96
Gorontalo,94.25,79.76,71.91,80.35,93.17,75.36,78.33,81.63
Sulawesi Barat,76.11,83.45,65.42,74.04,70.44,83.01,67.49,73.03
Maluku,45.87,68.57,62.27,60.2,52.22,71.34,65.82,64.37
Maluku Utara,14.5,88.12,60.61,58.39,21.99,88.34,64.53,62.34
Papua Barat,11.81,62.11,56.17,45.92,13.46,63.98,58.29,47.95
Papua,17.68,49.89,42.34,37.8,28.06,49.54,46.23,42.27
